THEME,STATUS,REF_PER_COLLECT,CCYY,MM,ITEM_P,STAT_VAR,STAT_PRES,STAT_VALUE
CLBM,f,A,2014,1,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2014,1,UPVC_32,PRICE,Raw,56
CLBM,f,A,2014,1,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2014,1,WALL_WHITE,PRICE,Raw,243
CLBM,f,A,2014,2,AGG,PRICE,Raw,62
CLBM,f,A,2014,2,BIT,PRICE,Raw,8530
CLBM,f,A,2014,2,CEMENT,PRICE,Raw,714
CLBM,f,A,2014,2,CONCRETE,PRICE,Raw,77
CLBM,f,A,2014,2,DIESEL_IND,PRICE,Raw,2126
CLBM,f,A,2014,2,DIESEL_RD,PRICE,Raw,1065
CLBM,f,A,2014,2,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2014,2,GMS_ANGLE,PRICE,Raw,12051
CLBM,f,A,2014,2,GMS_FLAT,PRICE,Raw,10209
CLBM,f,A,2014,2,GMS_PLATE,PRICE,Raw,9511
CLBM,f,A,2014,2,HARDW_SAWN,PRICE,Raw,5519
CLBM,f,A,2014,2,HOMOF_200,PRICE,Raw,158
CLBM,f,A,2014,2,MF_SP,PRICE,Raw,5742
CLBM,f,A,2014,2,MOSAIC_18,PRICE,Raw,114
CLBM,f,A,2014,2,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2014,2,MOSAIC_45,PRICE,Raw,130
CLBM,f,A,2014,2,PAINT_ACRY,PRICE,Raw,49
CLBM,f,A,2014,2,PAINT_EMUL,PRICE,Raw,52
CLBM,f,A,2014,2,SAND,PRICE,Raw,120
CLBM,f,A,2014,2,SR_HIGH,PRICE,Raw,5083
CLBM,f,A,2014,2,SR_ROUND,PRICE,Raw,5870
CLBM,f,A,2014,2,TF_PLY,PRICE,Raw,75
CLBM,f,A,2014,2,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2014,2,UPVC_32,PRICE,Raw,55
CLBM,f,A,2014,2,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2014,2,WALL_WHITE,PRICE,Raw,243
CLBM,f,A,2014,3,AGG,PRICE,Raw,62
CLBM,f,A,2014,3,BIT,PRICE,Raw,8503
CLBM,f,A,2014,3,CEMENT,PRICE,Raw,714
CLBM,f,A,2014,3,CONCRETE,PRICE,Raw,77
CLBM,f,A,2014,3,DIESEL_IND,PRICE,Raw,2130
CLBM,f,A,2014,3,DIESEL_RD,PRICE,Raw,1075
CLBM,f,A,2014,3,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2014,3,GMS_ANGLE,PRICE,Raw,12017
CLBM,f,A,2014,3,GMS_FLAT,PRICE,Raw,10192
CLBM,f,A,2014,3,GMS_PLATE,PRICE,Raw,9511
CLBM,f,A,2014,3,HARDW_SAWN,PRICE,Raw,5519
CLBM,f,A,2014,3,HOMOF_200,PRICE,Raw,159
CLBM,f,A,2014,3,MF_SP,PRICE,Raw,5705
CLBM,f,A,2014,3,MOSAIC_18,PRICE,Raw,114
CLBM,f,A,2014,3,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2014,3,MOSAIC_45,PRICE,Raw,130
CLBM,f,A,2014,3,PAINT_ACRY,PRICE,Raw,49
CLBM,f,A,2014,3,PAINT_EMUL,PRICE,Raw,52
CLBM,f,A,2014,3,SAND,PRICE,Raw,120
CLBM,f,A,2014,3,SR_HIGH,PRICE,Raw,5056
CLBM,f,A,2014,3,SR_ROUND,PRICE,Raw,5895
CLBM,f,A,2014,3,TF_PLY,PRICE,Raw,75
CLBM,f,A,2014,3,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2014,3,UPVC_32,PRICE,Raw,54
CLBM,f,A,2014,3,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2014,3,WALL_WHITE,PRICE,Raw,243
CLBM,f,A,2014,4,AGG,PRICE,Raw,63
CLBM,f,A,2014,4,BIT,PRICE,Raw,8450
CLBM,f,A,2014,4,CEMENT,PRICE,Raw,714
CLBM,f,A,2014,4,CONCRETE,PRICE,Raw,77
CLBM,f,A,2014,4,DIESEL_IND,PRICE,Raw,2125
CLBM,f,A,2014,4,DIESEL_RD,PRICE,Raw,1077
CLBM,f,A,2014,4,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2014,4,GMS_ANGLE,PRICE,Raw,11967
CLBM,f,A,2014,4,GMS_FLAT,PRICE,Raw,10169
CLBM,f,A,2014,4,GMS_PLATE,PRICE,Raw,9511
CLBM,f,A,2014,4,HARDW_SAWN,PRICE,Raw,5519
CLBM,f,A,2014,4,HOMOF_200,PRICE,Raw,159
CLBM,f,A,2014,4,MF_SP,PRICE,Raw,5614
CLBM,f,A,2014,4,MOSAIC_18,PRICE,Raw,114
CLBM,f,A,2014,4,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2014,4,MOSAIC_45,PRICE,Raw,130
CLBM,f,A,2014,4,PAINT_ACRY,PRICE,Raw,49
CLBM,f,A,2014,4,PAINT_EMUL,PRICE,Raw,52
