TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE,LPS_Id
KE,61,5461800635,Uno 2,"SHOP NOS. B217-B223, REGAL KOWLOON HOTEL, 71 MODY ROAD, TSIM SHA TSUI EAST, KOWLOON",,2018-10-28,0
KE,61,5461800644,MUSICBOX,"10/F, 10 PRAT, 10 PRAT AVENUE, TSIM SHA TSUI, KOWLOON",,2019-01-11,0
KE,61,5461800662,BABY ONE,"SHOP NO. C1, 33-45, UG/F, SOUTH SEAS CENTRE, 75 MODY ROAD, TSIM SHA TSUI, KOWLOON",,2018-03-15,0
KE,61,5461800671,NABI,"UNIT 1, 3/F, MULTIFIELD PLAZA, 3-7 PRAT AVENUE, TSIM SHA TSUI, KOWLOON",,2019-01-15,0
KE,61,5461800680,UNO,"SHOP 225, 2ND BASEMENT, REGAL KOWLOON HOTEL, 71 MODY ROAD, TSIM SHA TSUI, KOWLOON",,2019-09-27,0
KE,12,5412800071,Goshen,"9/F, FIRST COMMERCIAL BUILDING , 33-35 LEIGHTON ROAD , CAUSEWAY BAY, HONG KONG",,2019-08-02,0
KE,12,5412800150,FACES,"SHOP NO. 302, 3/F., SHOPPING ARCADE, CONVENTION PLAZA, 1 HARBOUR ROAD, WANCHAI, HONG KONG",,2018-09-17,0
KE,12,5412800220,Fook Lam Restaurant,"28/F., 205-211 JOHNSTON ROAD, WAN CHAI, HONG KONG",,2018-09-27,0
KE,12,5412800248,VEGAS,"27/F., 205-211 JOHNSTON ROAD, WAN CHAI, HONG KONG",,2018-10-21,0
KE,12,5412800257,Red Mr. Ktv,"8/F., WINDSOR HOUSE, 311 GLOUCESTER ROAD, CAUSEWAY BAY, HONG KONG",,2019-07-06,0
KE,12,5412800336,Neway Karaoke Box,"3/F(PORTION) AND THE WHOLE OF 4/F, EMPEROR GROUP CENTRE, 288 HENNESSY ROAD, WAN CHAI, HONG KONG",,2018-03-24,0
KE,12,5412800354,K FIVE CLUB,"5/F., KUO HWA BUILDING, NO. 340-342 HENNESSY ROAD, WAN CHAI, HONG KONG",,2018-06-16,0
KE,12,5412800363,Number 8,"7/F., OLIV, 15-21 SHARP STREET EAST, CAUSEWAY BAY, HONG KONG",,2018-08-08,0
KE,12,5412800372,Neway Karaoke Box,"2/F.-3/F., LOK SING CENTRE, 19-31 YEE WO STREET, CAUSEWAY BAY, HONG KONG",,2019-08-23,0
KE,51,5451000010,Neway Karaoke Box,"L11-2, APM MILLENNIUM CITY 5, 418 KWUN TONG ROAD, KWUN TONG, KOWLOON",,2019-05-17,0
KE,51,5451800030,Red Mr. Ktv,"12 & 15/F, ONE PACIFIC CENTRE, 414 KWUN TONG ROAD, KOWLOON",,2019-08-01,0
PC,18,5013000036,PALACE IFC,"UPPER PART OF G/F(PORTION) AND G/F(PORTION), IFC MALL, 8 FINANCE STREET, CENTRAL, HONG KONG",,2018-06-24,0
