THEME,STATUS,REF_PER_COLLECT,SD_VALUE,CCYY,MM,BASEYEAR,ITEM_P,WAGE,ITEM,STAT_VAR,STAT_PRES,STAT_VALUE,table_Id
"CLBM","f","A","0","2013","11","","SAND","","","PRICE","Raw","120",0
"CLBM","f","A","0","2013","11","","SR_HIGH","","","PRICE","Raw","5093",0
"CLBM","f","A","0","2013","11","","SR_ROUND","","","PRICE","Raw","5915",0
"CLBM","f","A","0","2013","11","","TF_PLY","","","PRICE","Raw","75",0
"CLBM","f","A","0","2013","11","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","11","","UPVC_32","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","11","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","11","","WALL_WHITE","","","PRICE","Raw","243",0
"CLBM","f","A","0","2013","12","","AGG","","","PRICE","Raw","60",0
"CLBM","f","A","0","2013","12","","BIT","","","PRICE","Raw","8610",0
"CLBM","f","A","0","2013","12","","CEMENT","","","PRICE","Raw","698",0
"CLBM","f","A","0","2013","12","","CONCRETE","","","PRICE","Raw","72",0
"CLBM","f","A","0","2013","12","","DIESEL_IND","","","PRICE","Raw","2140",0
"CLBM","f","A","0","2013","12","","DIESEL_RD","","","PRICE","Raw","1072",0
"CLBM","f","A","0","2013","12","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","12","","GMS_ANGLE","","","PRICE","Raw","11806",0
"CLBM","f","A","0","2013","12","","GMS_FLAT","","","PRICE","Raw","10131",0
"CLBM","f","A","0","2013","12","","GMS_PLATE","","","PRICE","Raw","9541",0
"CLBM","f","A","0","2013","12","","HARDW_SAWN","","","PRICE","Raw","5519",0
"CLBM","f","A","0","2013","12","","HOMOF_200","","","PRICE","Raw","158",0
"CLBM","f","A","0","2013","12","","MF_SP","","","PRICE","Raw","5794",0
"CLBM","f","A","0","2013","12","","MOSAIC_18","","","PRICE","Raw","109",0
"CLBM","f","A","0","2013","12","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","12","","MOSAIC_45","","","PRICE","Raw","129",0
"CLBM","f","A","0","2013","12","","PAINT_ACRY","","","PRICE","Raw","49",0
"CLBM","f","A","0","2013","12","","PAINT_EMUL","","","PRICE","Raw","52",0
"CLBM","f","A","0","2013","12","","SAND","","","PRICE","Raw","120",0
"CLBM","f","A","0","2013","12","","SR_HIGH","","","PRICE","Raw","5118",0
"CLBM","f","A","0","2013","12","","SR_ROUND","","","PRICE","Raw","5945",0
"CLBM","f","A","0","2013","12","","TF_PLY","","","PRICE","Raw","75",0
"CLBM","f","A","0","2013","12","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","12","","UPVC_32","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","12","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","12","","WALL_WHITE","","","PRICE","Raw","243",0
"CLBM","f","A","0","2014","1","","AGG","","","PRICE","Raw","63",0
"CLBM","f","A","0","2014","1","","BIT","","","PRICE","Raw","8610",0
"CLBM","f","A","0","2014","1","","CEMENT","","","PRICE","Raw","713",0
"CLBM","f","A","0","2014","1","","CONCRETE","","","PRICE","Raw","76",0
"CLBM","f","A","0","2014","1","","DIESEL_IND","","","PRICE","Raw","2131",0
"CLBM","f","A","0","2014","1","","DIESEL_RD","","","PRICE","Raw","1065",0
"CLBM","f","A","0","2014","1","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2014","1","","GMS_ANGLE","","","PRICE","Raw","12101",0
"CLBM","f","A","0","2014","1","","GMS_FLAT","","","PRICE","Raw","10158",0
"CLBM","f","A","0","2014","1","","GMS_PLATE","","","PRICE","Raw","9531",0
"CLBM","f","A","0","2014","1","","HARDW_SAWN","","","PRICE","Raw","5519",0
"CLBM","f","A","0","2014","1","","HOMOF_200","","","PRICE","Raw","158",0
"CLBM","f","A","0","2014","1","","MF_SP","","","PRICE","Raw","5753",0
"CLBM","f","A","0","2014","1","","MOSAIC_18","","","PRICE","Raw","109",0
"CLBM","f","A","0","2014","1","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2014","1","","MOSAIC_45","","","PRICE","Raw","130",0
"CLBM","f","A","0","2014","1","","PAINT_ACRY","","","PRICE","Raw","49",0
"CLBM","f","A","0","2014","1","","PAINT_EMUL","","","PRICE","Raw","52",0
"CLBM","f","A","0","2014","1","","SAND","","","PRICE","Raw","120",0
